iter	Logloss
0	0.6886594324
1	0.684476361
2	0.6801708579
3	0.675987277
4	0.6723341956
5	0.6685847489
6	0.664625307
7	0.6609105666
8	0.6575712114
9	0.654533334
10	0.6508397096
11	0.6478952403
12	0.6443518205
13	0.6407132762
14	0.6371149693
15	0.6340673075
16	0.6313062974
17	0.6278503792
18	0.62511023
19	0.6221568599
20	0.6196655877
21	0.6171948706
22	0.6142788536
23	0.6116212526
24	0.6093095882
25	0.6067766535
26	0.6047004196
27	0.6024979496
28	0.5999972128
29	0.5973082434
30	0.5949667783
31	0.5929900142
32	0.5908408039
33	0.588756446
34	0.5865178641
35	0.5840709653
36	0.5816785904
37	0.5796924332
38	0.5779824198
39	0.5760308044
40	0.5741485798
41	0.5725852224
42	0.5706458815
43	0.568650457
44	0.5669048009
45	0.5648984423
46	0.563387924
47	0.5619629849
48	0.5604097876
49	0.5584877859
50	0.5569907861
51	0.5556312666
52	0.553796845
53	0.5524252909
54	0.5511976092
55	0.549695433
56	0.5480072413
57	0.5467072083
58	0.5451282036
59	0.5435576756
60	0.5420333618
61	0.5407439056
62	0.5397352212
63	0.538304373
64	0.5369978093
65	0.5355775453
66	0.5347313745
67	0.533381154
68	0.5320105106
69	0.5306278371
70	0.5297030218
71	0.5283920519
72	0.5274694641
73	0.5265344709
74	0.5255815136
75	0.5247327328
76	0.523923395
77	0.5231478826
78	0.5222585053
79	0.5210403563
80	0.5199621328
81	0.5193140042
82	0.5182055726
83	0.5171729054
84	0.5163201985
85	0.5155573612
86	0.5149874389
87	0.5143994592
88	0.5135534874
89	0.5125951035
90	0.5118909719
91	0.5109841206
92	0.5104794802
93	0.5096591611
94	0.5089369931
95	0.508309289
96	0.5074616833
97	0.5069217655
98	0.5062492155
99	0.5057143823
100	0.5050839108
101	0.5042639092
102	0.5034899866
103	0.5028939662
104	0.5021793902
105	0.5016405354
106	0.5012687482
107	0.5006202976
108	0.5000992327
109	0.4995791233
110	0.4990375239
111	0.4986307809
112	0.4982296973
113	0.497852216
114	0.4972916283
115	0.4968509835
116	0.4963106567
117	0.4958564276
118	0.4955212296
119	0.4949465675
120	0.4946667643
121	0.4943311318
122	0.4939487619
123	0.4934388607
124	0.4929389261
125	0.4925883423
126	0.4923181714
127	0.4919748423
128	0.4915831514
129	0.4913514031
130	0.4910479427
131	0.4908075731
132	0.4904690141
133	0.4901070513
134	0.4897367899
135	0.4894146269
136	0.4890561562
137	0.4886237797
138	0.4883323848
139	0.4878469804
140	0.4873665568
141	0.4868950542
142	0.4866747606
143	0.4863386955
144	0.4860694135
145	0.4857195638
146	0.4853889929
147	0.484999872
148	0.4847191375
149	0.4843009731
150	0.4839420249
151	0.4836792529
152	0.4832388392
153	0.4828671279
154	0.4826459342
155	0.4822741059
156	0.4819691803
157	0.4817283008
158	0.4815622592
159	0.4811948511
160	0.4809600389
161	0.4808479862
162	0.4805950763
163	0.4803095065
164	0.4799682818
165	0.4798264725
166	0.4795922342
167	0.4792791041
168	0.4789553266
169	0.478687266
170	0.4784813696
171	0.4782784796
172	0.477971457
173	0.477790205
174	0.4776771671
175	0.4775260777
176	0.4773552063
177	0.4770691566
178	0.4768542422
179	0.4765585326
180	0.4764068163
181	0.4761030576
182	0.475946284
183	0.4758497972
184	0.475639963
185	0.4755248722
186	0.475415183
187	0.4752424008
188	0.475143865
189	0.4750042818
190	0.4747612838
191	0.4746325837
192	0.474483075
193	0.4742179938
194	0.4740146212
195	0.4738376123
196	0.4736949572
197	0.4734857971
198	0.4732632719
199	0.473163258
200	0.472988765
201	0.472868371
202	0.4726813391
203	0.472586831
204	0.4724326423
205	0.4722679018
206	0.4720762972
207	0.4719376522
208	0.4717232139
209	0.4715657344
210	0.4713469066
211	0.4712020176
212	0.4710217903
213	0.4708219385
214	0.4706222844
215	0.4705457335
216	0.4703815181
217	0.4701855587
218	0.4700154646
219	0.4698279567
220	0.4697246882
221	0.469626945
222	0.4695109623
223	0.4693941262
224	0.4692224503
225	0.469069916
226	0.4688391582
227	0.4687279016
228	0.468673537
229	0.4685030845
230	0.4684254652
231	0.4682815202
232	0.4682191142
233	0.4680893257
234	0.4679539884
235	0.4679073566
236	0.4678210143
237	0.4676735455
238	0.4674947794
239	0.4673621751
240	0.4672661144
241	0.4671570437
242	0.467064255
243	0.4669869294
244	0.4669434354
245	0.4669182296
246	0.466881709
247	0.4668023271
248	0.4667317879
249	0.4666922372
250	0.4665753672
251	0.4665456283
252	0.4664291324
253	0.4663338353
254	0.4661857407
255	0.4660562367
256	0.4659486491
257	0.4659025684
258	0.4657881209
259	0.4657347303
260	0.4656161866
261	0.4655477579
262	0.4654909412
263	0.4654274304
264	0.4653191575
265	0.4652148919
266	0.4651341758
267	0.4650301924
268	0.4649275811
269	0.4648878337
270	0.4648076867
271	0.4647507719
272	0.4646117962
273	0.4645664752
274	0.4645122091
275	0.4644553988
276	0.4643400691
277	0.4641678296
278	0.4640970058
279	0.4640294077
280	0.4639585073
281	0.4638714195
282	0.4638088609
283	0.4637129865
284	0.4636438569
285	0.4635273484
286	0.4634677793
287	0.4634147945
288	0.4633861047
289	0.4632940127
290	0.4632309921
291	0.4631316472
292	0.4630171189
293	0.4629353843
294	0.4629055454
295	0.4628829131
296	0.4627938411
297	0.4627215258
298	0.4626173406
299	0.4625244441
